MANZENT;Poblacion;id
13127121001006;73;326
13127071004010;87;327
13127071004024;117;328
13127041001011;89;329
13127041001022;127;330
13127061007018;71;331
13127131003006;45;332
13127061001020;114;333
13127121001010;57;334
13127051003002;238;335
13127111005009;74;336
13127041003034;79;337
13127111001028;21;338
13127111001029;47;339
13127111003014;51;340
13127041001024;116;341
13127041003007;78;342
13127061007019;77;343
13127131003035;63;344
13127041003010;86;345
13127061005001;87;346
13127041003020;83;347
13127011002012;187;348
13127041004016;63;349
13127061004008;119;350
13127031001006;31;351
13127041001023;97;352
13127111002019;119;353
13127091001012;71;354
13127061006049;81;355
13127111003020;51;356
13127041001019;137;357
13127041001027;136;358
13127091001027;32;359
13127061006046;100;360
13127011001014;150;361
13127041001025;134;362
13127061004005;105;363
13127041001009;62;364
13127041003018;87;365
13127041001026;136;366
13127051001010;80;367
13127041004012;73;368
13127061006016;90;369
13127041003019;78;370
13127041003016;74;371
13127041003035;70;372
13127011001033;108;373
13127041003031;62;374
13127061006045;109;375
13127061005013;7;376
13127111001002;89;377
13127011001015;83;378
13127131003027;107;379
13127091001010;51;380
13127111003019;101;381
13127051003004;245;382
13127061001022;88;383
13127061006015;107;384
13127051002014;81;385
13127041003028;45;386
13127061004003;90;387
13127071004025;112;388
13127061006034;109;389
13127061006048;105;390
13127121001001;58;391
13127041001014;147;392
13127061004009;81;393
13127041004022;23;394
13127041003012;79;395
13127051002017;79;396
13127041004011;88;397
13127041001015;133;398
13127131003037;64;399
13127041003017;72;400
13127111003024;80;401
13127051001029;92;402
13127041004008;90;403
13127011001013;131;404
13127041003014;55;405
13127121002014;77;406
13127061006003;109;407
13127021004003;59;408
13127071004008;90;409
13127121002012;75;410
13127061002025;35;411
13127041001016;206;412
13127111003023;90;413
13127051001023;71;414
13127051001022;80;415
13127041004015;65;416
13127071002004;25;417
13127111005021;116;418
13127111003025;78;419
13127111004018;89;420
13127051001030;81;421
13127041004007;54;422
13127061006033;131;423
13127111003018;89;424
13127051001021;88;425
13127061002008;52;426
13127061006004;102;427
13127061004007;86;428
13127051002020;88;429
13127121002009;82;430
13127131003034;67;431
13127061006017;147;432
13127051003005;246;433
13127041003021;39;434
13127051001014;133;435
13127051001015;109;436
13127071001033;74;437
13127041003015;86;438
13127121002023;110;439
13127061006038;94;440
13127051001027;120;441
13127041001021;121;442
13127021004009;70;443
13127051002039;90;444
13127091002004;120;445
13127051001024;91;446
13127111005019;41;447
13127061001002;64;448
13127051002006;136;449
13127051001016;90;450
13127051003012;125;451
13127041003036;70;452
13127051002013;89;453
13127111004014;99;454
13127131003033;110;455
13127051003025;84;456
13127051001004;63;457
13127051003011;125;458
13127051001013;71;459
13127041004501;91;460
13127051002011;108;461
13127111003002;105;462
13127051001025;91;463
13127021002006;91;464
13127131003032;84;465
13127061001018;157;466
13127131003028;81;467
13127041004017;90;468
13127121002015;83;469
13127111005010;69;470
13127061003003;150;471
13127111002016;77;472
13127051003027;100;473
13127021004011;463;474
13127051002009;121;475
13127051002023;96;476
13127051002026;103;477
13127051002002;84;478
13127041003025;66;479
13127051001026;81;480
13127131003036;125;481
13127061002004;68;482
13127041003011;99;483
13127061003501;75;484
13127061007013;34;485
13127051001009;95;486
13127131003003;106;487
13127131003011;96;488
13127111001035;106;489
13127121002027;80;490
13127131001009;72;491
13127041001020;158;492
13127061001019;102;493
13127041002024;125;494
13127111002004;0;495
13127121003048;89;496
13127071001030;39;497
13127041004014;129;498
13127051001019;79;499
13127111001034;92;500
13127111001036;88;501
13127021002007;79;502
13127061004018;135;503
13127051001020;79;504
13127121001002;110;505
13127121002026;116;506
13127081001007;28;507
13127061002027;56;508
13127091001025;48;509
13127111003003;102;510
13127121002006;47;511
13127111005004;73;512
13127041002025;107;513
13127061004002;147;514
13127061006047;96;515
13127111001012;162;516
13127131003019;112;517
13127121002016;80;518
13127121002028;103;519
13127011002017;69;520
13127061006002;116;521
13127061007021;102;522
13127121002013;130;523
13127101001007;87;524
13127061004004;143;525
13127091003007;71;526
13127011002005;45;527
13127121003010;115;528
13127111002013;78;529
13127041004013;89;530
13127111002014;84;531
13127011001031;947;532
13127061001030;97;533
13127081001013;9;534
13127061004016;82;535
13127121002029;98;536
13127111005008;95;537
13127021003009;60;538
13127021002008;132;539
13127121002008;100;540
13127131003029;122;541
13127051001018;101;542
13127041002014;112;543
13127091002013;98;544
13127061004017;116;545
13127011001026;22;546
13127041003037;103;547
13127011001024;20;548
13127021004010;18;549
13127051001003;112;550
13127051003030;160;551
13127111002012;183;552
13127051001037;109;553
13127131003007;136;554
13127011002001;145;555
13127111005016;80;556
13127131002015;151;557
13127051001002;98;558
13127131003031;118;559
13127111001501;177;560
13127011001021;18;561
13127121003009;182;562
13127051001008;163;563
13127121003004;154;564
13127051001017;118;565
13127041003032;122;566
13127041003033;129;567
13127021003002;52;568
13127121003005;126;569
13127121002022;99;570
13127121002005;75;571
13127061004023;140;572
13127021004005;395;573
13127041004010;119;574
13127111001033;133;575
13127111004013;130;576
13127111005005;83;577
13127061004013;131;578
13127131001006;61;579
13127061003500;32;580
13127111003004;48;581
13127051002027;68;582
13127011001032;114;583
13127071004029;79;584
13127041003038;92;585
13127061007005;106;586
13127051002001;92;587
13127121003023;0;588
13127041003006;79;589
13127041003041;91;590
13127061001001;134;591
13127041003042;92;592
13127111003015;74;593
13127041003046;90;594
13127111004007;53;595
13127041003047;137;596
13127041003040;121;597
13127121003003;162;598
13127021004006;260;599
13127041003039;118;600
13127091001017;98;601
